name,num,id
Андр Шевчишин,274.0,189.0
Сполучен Штат,273.0,190.0
Геннад Трухан,269.0,191.0
Леонід Волк,269.0,192.0
Володимир Остапчук,268.0,193.0
Шевченк,267.0,194.0
Дан Гетманц,267.0,195.0
Макс Грищук,267.0,196.0
Франциск,266.0,197.0
Тарас Шевченк,264.0,198.0
Роман Лещенк,261.0,199.0
Роман Абрамовськ,258.0,200.0
Джастін Трюд,258.0,201.0
Ігор Макар,257.0,202.0
Євген Клопотенк,256.0,203.0
Ан Лорак,256.0,204.0
Володимир Гройсман,255.0,205.0
Петер Сійярт,255.0,206.0
Мітч Макконнелл,253.0,207.0
Мінськ,250.0,208.0
Серг Надал,249.0,209.0
Павел Глоб,247.0,210.0
Олександр Охріменк,247.0,211.0
Андр Наум,247.0,212.0
Мелінд Сіммонс,243.0,213.0
Олекс Кущ,243.0,214.0
Олег Устенк,242.0,215.0
Дженніфер Лопес,240.0,216.0
Серг Бабкін,238.0,217.0
Миха Федор,238.0,218.0
Серг Осачук,237.0,219.0
Метт Генкок,237.0,220.0
Рефат Чубар,237.0,221.0
Ольг Совгир,236.0,222.0
Серг Кривонос,235.0,223.0
Андр Крищенк,234.0,224.0
Улян Супрун,234.0,225.0
Мілорад Додік,234.0,226.0
Нед Прайс,233.0,227.0
Ізраїл,233.0,228.0
Стран,233.0,229.0
Володимир Фесенк,231.0,230.0
Мінюст,230.0,231.0
Ігор Іващенк,230.0,232.0
Рінат Ахмет,229.0,233.0
Барак Обам,229.0,234.0
Олександр Скічк,229.0,235.0
Дмитр Козак,229.0,236.0
Ігор Суркіс,228.0,237.0
Ге Лерос,227.0,238.0
Вад Іосуб,227.0,239.0
Володимир Бондаренк,226.0,240.0
Миха Радуцк,226.0,241.0
Гюндуз Мамед,226.0,242.0
Валентин,225.0,243.0
Банков,223.0,244.0
Йенс Столтенберг,222.0,245.0
Боб Арум,221.0,246.0
Степан Бандер,221.0,247.0
Анґел Меркел,219.0,248.0
Алекс Якубин,218.0,249.0
Крістін Квін,218.0,250.0
Ліонел Месс,217.0,251.0
Джо Джойс,217.0,252.0
Павл Дур,215.0,253.0
Габріелюс Ландсбергіс,215.0,254.0
Ігор Матович,214.0,255.0
Олександр Каленк,214.0,256.0
Віктор,214.0,257.0
Кравчук,214.0,258.0
Ірин Білик,214.0,259.0
Фокус,214.0,260.0
Реджеп Ердоган,214.0,261.0
Хайк Маас,214.0,262.0
Марин Порошенк,214.0,263.0
Олександр Зінченк,213.0,264.0
Борис Філат,211.0,265.0
Урсул фон дер Ляй,485.0,266.0
Яросл Кучер,210.0,267.0
Ллойд Остін,210.0,268.0
Йост Люнгман,210.0,269.0
Юл Свириденк,210.0,270.0
Катерин Репях,210.0,271.0
Марк Цукерберг,210.0,272.0
Біньямін Нетаньях,209.0,273.0
Васил Павлюк,208.0,274.0
Тарас Качк,207.0,275.0
Яросл Юрчишин,206.0,276.0
Лікарк,206.0,277.0
Ганн Дан,205.0,278.0
Філіп Кіркор,204.0,279.0
Кулеб,203.0,280.0
Луїш Каштр,203.0,281.0
Ірин Геращенк,202.0,282.0
Олександр Кубрак,202.0,283.0
Катерин Рожк,200.0,284.0
Павл Кириленк,199.0,285.0
Натал Могилевськ,199.0,286.0
Світлан Шатал,199.0,287.0
Юл Санін,198.0,288.0
Ольг Михайл,197.0,289.0
Олег Ляшк,196.0,290.0
Васил Вірастюк,196.0,291.0
Курт Волкер,196.0,292.0
Андр Золотар,196.0,293.0
Володимир Омелян,195.0,294.0
Віктор Орбан,195.0,295.0
Андр Тара,195.0,296.0
Натал Батир,194.0,297.0
Жан Кастекс,193.0,298.0
Кейт Міддлтон,193.0,299.0
Вад Рабінович,191.0,300.0
Михайл Волинец,190.0,301.0
Ольг Сумськ,189.0,302.0
Дженніфер Псак,189.0,303.0
Пап Римськ,188.0,304.0
Гол cU,187.0,305.0
Серг Магер,187.0,306.0
Матт Маасікас,186.0,307.0
Ольг Фреймут,186.0,308.0
Михайл Добкін,185.0,309.0
Даш Астафєв,185.0,310.0
Кір Рудик,184.0,311.0
Кат Осадч,184.0,312.0
Микол Поворозник,183.0,313.0
Серг Притул,182.0,314.0
Анджелін Джол,181.0,315.0
Андр Павелк,181.0,316.0
Андр Тан,181.0,317.0
Інн Совсун,181.0,318.0
Олександр Ярославськ,181.0,319.0
Роман Клічук,180.0,320.0
Володимир,178.0,321.0
Офис Генпрокурор,177.0,322.0
Людм Денисов,177.0,323.0
Юр Горбун,177.0,324.0
Олес Бацман,177.0,325.0
Андр Мельник,177.0,326.0
Петер Сіярт,177.0,327.0
Катерин Котенк,176.0,328.0
Віктор Ющенк,176.0,329.0
Олександр Турчин,175.0,330.0
Серг Наришкін,175.0,331.0
Разумк,175.0,332.0
Алін Грос,174.0,333.0
Олег Руба,174.0,334.0
Юр Сидоренк,174.0,335.0
Серг Щербич,174.0,336.0
Павл Клімкін,173.0,337.0
Віктор Коваленк,173.0,338.0
Юра Санітр,173.0,339.0
Олександр Красюк,173.0,340.0
Юр Камельчук,173.0,341.0
Натал Гусак,173.0,342.0
Євген Селезн,173.0,343.0
Чак Шумер,171.0,344.0
Олег Бахматюк,171.0,345.0
Джейк Салліван,170.0,346.0
Себастьян Курц,170.0,347.0
Григор Чапкіс,169.0,348.0
Валер Тарасюк,169.0,349.0
Андр Демченк,168.0,350.0
Влад Ям,168.0,351.0
Олег Сенц,167.0,352.0
Олен Табал,167.0,353.0
Микол Кульбід,166.0,354.0
Тайсон,165.0,355.0
Мар Мезенцев,165.0,356.0
Андр Бойчук,164.0,357.0
Богдан Данилишин,164.0,358.0
Ліл Ребрик,164.0,359.0
Адан Гебреісус,614.0,360.0
Сі Цзіньпін,163.0,361.0
Вітренк,162.0,362.0
Дмитр Сологуб,161.0,363.0
Камал Харріс,161.0,364.0
Козак,161.0,365.0
Нестор Шуфрич,160.0,366.0
Конгрес,160.0,367.0
Андр Данилк,160.0,368.0
Джамал,159.0,369.0
Валентин Наливайченк,159.0,370.0
Світлан Лобод,159.0,371.0
Микит,159.0,372.0
Руслан Рябошапк,159.0,373.0
Серг Аксьон,158.0,374.0
Джейсон Міллер,158.0,375.0
Серг Риженк,158.0,376.0
Серг Фурс,157.0,377.0
Серг Кравченк,156.0,378.0
Ольг Буславец,156.0,379.0
Олекс Гончарук,156.0,380.0
Катерин,156.0,381.0
Анатол Бондаренк,156.0,382.0
Даш Квітк,156.0,383.0
Юр Луценк,156.0,384.0
Володимир Дантес,155.0,385.0
Федір Лап,155.0,386.0
Олександр Перцовськ,154.0,387.0
Шмыгал,154.0,388.0
Віктор Назар,154.0,389.0
Ростисла Кравец,153.0,390.0
Мас Най,153.0,391.0
Соф Ротар,153.0,392.0
Регін Тодоренк,153.0,393.0
Серг Доротич,152.0,394.0
Христ Грозєв,214.0,395.0
Зо Вовк,151.0,396.0
Янукович,151.0,397.0
Макс Галкін,150.0,398.0
Людмил Буймістер,150.0,399.0
Татаров,150.0,400.0
Епіфан,150.0,401.0
Ігор Смілянськ,150.0,402.0
Андж Дуд,149.0,403.0
Юл Лапутін,149.0,404.0
Свят Микол,149.0,405.0
Елін Світолін,149.0,406.0
Тьєрр Бретон,149.0,407.0
Натал Виноград,149.0,408.0
Єнс Шпан,148.0,409.0
Ігор Додон,148.0,410.0
Святосл Вакарчук,148.0,411.0
Галин Янченк,147.0,412.0
Михайл Бродськ,147.0,413.0
Єлизавет Яськ,146.0,414.0
Меморандум,146.0,415.0
Арт Шевченк,146.0,416.0
Олександр Старух,145.0,417.0
Михайл Чаплиг,145.0,418.0
Антон Кориневич,145.0,419.0
Ігор Мосійчук,144.0,420.0
Геннад Боголюб,144.0,421.0
Денис Монастирськ,144.0,422.0
Кім Кардашьян,144.0,423.0
Андр Богдан,144.0,424.0
Валдіс Домбровскіс,144.0,425.0
Стерненк,143.0,426.0
Віктор Петр,143.0,427.0
Микол,143.0,428.0
Президент Україн,142.0,429.0
Олекс Потапенк,142.0,430.0
Денис Пушилін,142.0,431.0
Євген Більченк,141.0,432.0
Арт Мілевськ,141.0,433.0
Вад Івченк,141.0,434.0
Олександр Шевченк,140.0,435.0
Олекс Тригубенк,140.0,436.0
Роман Лозинськ,139.0,437.0
Над Оперчук,139.0,438.0
Сант Дімопулос,139.0,439.0
Едд Хірн,139.0,440.0
Катерин Кухар,138.0,441.0
Володимир Єльченк,138.0,442.0
Костянтин Дубонос,137.0,443.0
Андр Костін,137.0,444.0
Володимир Яценк,137.0,445.0
"Раніш "" Зна . ua",137.0,446.0
Катерин Осадч,137.0,447.0
Руслан Малиновськ,136.0,448.0
Тарас Жиравецьк,136.0,449.0
Джефф Безос,136.0,450.0
Ханс Клюг,136.0,451.0
Олександр Устін,135.0,452.0
Віктор Пінчук,135.0,453.0
Ігор Голован,134.0,454.0
Мар Юстицьк,134.0,455.0
Гайк Маас,134.0,456.0
Натал,134.0,457.0
Кирил Сазон,134.0,458.0
Татар,133.0,459.0
Емманюел Макрон,133.0,460.0
Валентин Мондриївськ,133.0,461.0
Костянтин Кудрявцев,133.0,462.0
Арсен Жумаділ,133.0,463.0
Тарас Загородн,133.0,464.0
Васил,132.0,465.0
Майкл Райан,132.0,466.0
Максим Микитас,132.0,467.0
Антон Дробович,131.0,468.0
Маш Єфросинін,131.0,469.0
Натал Голен,131.0,470.0
Ніколас Мадур,130.0,471.0
Мус Магомед,130.0,472.0
Дмитр Сенниченк,130.0,473.0
Андр Новак,130.0,474.0
Армін Лашет,129.0,475.0
Мішел Андрад,129.0,476.0
Оксан Маркар,129.0,477.0
Вад Карас,129.0,478.0
Олекс Любченк,127.0,479.0
Васил Володін,127.0,480.0
Олекс Білошицьк,127.0,481.0
Микит Добринін,127.0,482.0
Роман Яремчук,127.0,483.0
Алл Мироненк,127.0,484.0
Медичн,127.0,485.0
Серг Рахманін,126.0,486.0
Ірин Федишин,126.0,487.0
Олекс Неїжпап,125.0,488.0
Вітал Постриган,125.0,489.0
Олександр Сєнкевич,125.0,490.0
Армен Саркісян,124.0,491.0
Ірин Назарок,124.0,492.0
Сассекськ,124.0,493.0
Матеуш Моравецьк,124.0,494.0
Андр Москаленк,123.0,495.0
Микол Точицьк,123.0,496.0
Андр Гойл,123.0,497.0
Рудольф Джуліан,123.0,498.0
Фахреттін Кодж,122.0,499.0
Дмитр,122.0,500.0
Слав Камінськ,122.0,501.0
Анатол Штефан,121.0,502.0
Дмитр Комар,121.0,503.0
Олег Попенк,121.0,504.0
Джозеф Байд,121.0,505.0
Кім Чен Ин,121.0,506.0
Олег Рибальченк,120.0,507.0
Віктор Забашт,120.0,508.0
Юр Ткач,119.0,509.0
Ренат Кузьмін,119.0,510.0
Олекс Кошел,119.0,511.0
Ігор Палиц,119.0,512.0
Даніл,119.0,513.0
Володимир Кличк,118.0,514.0
Серг Кислиц,117.0,515.0
Арт Марчевськ,117.0,516.0
Дмитр Наталух,117.0,517.0
Злат Огнєвіч,117.0,518.0
Ісус Христ,117.0,519.0
Руд Джуліан,117.0,520.0
Юл Навальн,116.0,521.0
Олександр Щерб,116.0,522.0
Небесн Сотн,116.0,523.0
Євген Істребін,116.0,524.0
Андр Ярмоленк,116.0,525.0
Камал Гарріс,116.0,526.0
Ігор Сліденк,115.0,527.0
Кайл Дженнер,115.0,528.0
Сон Плакидюк,115.0,529.0
Володимир Вятрович,115.0,530.0
Серг Дрозд,115.0,531.0
Цензор,115.0,532.0
Никола Тищенк,116.0,533.0
Кост Бондаренк,114.0,534.0
Домінік Рааб,114.0,535.0
Витренк,114.0,536.0
Ірин Микичак,114.0,537.0
Дмитр Марунич,114.0,538.0
Анастас,113.0,539.0
Ольг Айвазовськ,113.0,540.0
