,num,del_flag,id,full_name
Наст Каменськ,174,True,186,
Олег Винник,173,True,187,
Анатол Шар,173,True,188,Анатолій Шарій
Мар Захар,173,True,189,
Хайк Маас,173,True,190,
Ентон Джош,170,True,191,
Серг Осачук,170,True,192,
Андр Крищенк,170,True,193,
Степанов,168,True,194,
Минздра,167,True,195,
Алекс Якубин,167,False,196,Олексій Якубін
Порошенк,167,True,197,
Серг Наришкін,166,True,198,
Кличк,166,True,199,
Михайл Волинец,165,False,200,Михайло Волинець
Ляшк,165,True,201,
Тарас Качк,163,True,202,
Андр Портн,163,False,203,Андрій Портнов
Олександр Каленк,160,False,204,Олександр Каленков
Роман Лещенк,159,True,205,
Ігор Суркіс,159,True,206,
Микол Кульбід,157,False,207,Микола Кульбіда
Вад Рабінович,157,True,208,
Йенс Столтенберг,157,True,209,
Серг Надал,156,True,210,
Юр Камельчук,155,True,211,
Макс Грищук,154,True,212,
Андр Антоненк,154,True,213,
Кулеб,152,True,214,
Роман Абрамовськ,151,True,215,
Андр Шевченк,151,True,216,
Юр Сидоренк,151,True,217,
Євген Клопотенк,151,True,218,
Матт Маасікас,150,True,219,
Ге Лерос,148,True,220,
Майкл Райан,148,True,221,
Реджеп Ердоган,148,True,222,
Володимир Остапчук,147,True,223,
Улян Супрун,146,False,224,Уляна Супрун
Олег Бахматюк,145,True,225,
Ганн Дан,145,True,226,
Франциск,145,True,227,
Олександр Кубрак,144,True,228,
Чак Шумер,143,True,229,
Андр Павелк,143,True,230,Андрій Павелко
Мілорад Додік,143,True,231,
Нед Прайс,142,True,232,
Інн Совсун,142,True,233,
Роман Клічук,142,True,234,
Габріелюс Ландсбергіс,142,True,235,
Миха Федор,141,True,236,
Людм Денисов,141,True,237,
Путин,141,True,238,
Ігор Іващенк,140,True,239,
Олександр,140,True,240,
Марк Цукерберг,140,True,241,
Натал Гусак,139,True,242,
Серг Бабкін,138,True,243,
Геннад Трухан,138,True,244,
Серг Магер,137,True,245,
Кравчук,137,True,246,
Светла Тихановск,136,True,247,
Боб Арум,136,True,248,
Лукашенк,136,True,249,
Йост Люнгман,136,True,250,
Олександр Скічк,136,True,251,
Миха Радуцк,135,True,252,
Серг Кравченк,135,False,253,Сергій Кравченко
Валдіс Домбровскіс,135,True,254,
Лікарк,134,True,255,
Натал Батир,134,True,256,
Андр Золотар,133,False,257,Андрій Золотарьов
Рефат Чубар,133,False,258,Рефат Чубаров
Марин Порошенк,133,True,259,
Кір Рудик,132,True,260,
Стран,130,True,261,
Олександр Старух,129,True,262,
Серг Доротич,128,False,263,Сергій Доротич
Ольг Михайл,128,True,264,
Галин Янченк,128,True,265,
Михайл Бродськ,127,False,266,Михайло Бродський
Світлан Шатал,127,True,267,
Біньямін Нетаньях,126,True,268,
Дженніфер Псак,126,True,269,
Віктор Петр,126,False,270,Віктор Петров
Антон Кориневич,125,True,271,
Андр Демченк,125,True,272,
Маск,125,True,273,
Олен Табал,125,True,274,Олена Табала
Гарр,125,True,275,
Богдан Данилишин,124,True,276,Богдан Данилишин
Анґел Меркел,124,True,277,
Андр Тара,124,True,278,
Ольг Буславец,124,True,279,
Петер Сіярт,123,True,280,
Вад Іосуб,123,False,281,Вадим Іосуб
Григор Чапкіс,123,True,282,
Євген Селезн,123,True,283,
Ігор Коломойськ,122,True,284,
Мар Мезенцев,121,True,285,
Потап,120,True,286,
Юра Санітр,119,True,287,
Фахреттін Кодж,118,True,288,
Яросл Кучер,118,True,289,
Мус Магомед,118,True,290,
Микол Точицьк,118,True,291,
Офіс президент Кирил Тимошенк,118,True,292,
Офіс,117,True,293,
Пап Римськ,117,True,294,
Крістін Квін,117,True,295,
Єлизавет Яськ,117,True,296,
Олег Сенц,115,False,297,Олег Сенцов
Денис Монастирськ,115,True,298,
Володимир Бондаренк,115,True,299,
Олекс Неїжпап,115,False,300,Олексій Неїжпапа
Арт Мілевськ,114,True,301,
Луїш Каштр,114,True,302,
Ільх Алієв,114,True,303,
Серг Фурс,114,False,304,Сергій Фурса
Ірин Геращенк,113,True,305,
Над Дорофєєв,113,True,306,
Себастьян Курц,113,True,307,
Віктор,112,True,308,
дер Ляєн,112,True,309,
Віктор Орбан,111,True,310,
Барак Обам,110,True,311,
Жан Кастекс,110,True,312,
Андр Новак,110,False,313,Андрій Новак
Кабмін,110,True,314,
Серг Кислиц,110,True,315,
Гайк Маас,109,True,316,
Катерин Репях,109,True,317,
Олекс Кошел,108,False,318,Олексій Кошель
Арт Шевченк,108,True,319,
Ростисла Кравец,108,False,320,Ростислав Кравець
Фокус,108,True,321,
Микол Кулеб,107,True,322,Микола Кулеба
Владисл Білик,106,False,323,Владислав Білик
Борис Філат,106,True,324,
Яросл Юрчишин,106,True,325,
Андр Костін,106,True,326,Андрій Костін
Роман Лозинськ,106,True,327,
Єнс Шпан,105,True,328,
Володимир Єльченк,105,True,329,
Олександр Ярославськ,105,False,330,Олександр Ярославський
Ольг,105,True,331,
Михайл Добкін,105,True,332,
Серг Рахманін,105,True,333,
Бен Ембарек,105,True,334,
Олег Ляшк,104,False,335,Олег Ляшко
Джейк Салліван,104,True,336,
Костянтин Дубонос,104,True,337,
Макс Тімченк,104,False,338,Максим Тімченко
Олен,104,True,339,
Зо Вовк,104,True,340,
Дмитр Гордон,104,False,341,Дмитро Гордон
Валер Тарасюк,104,True,342,
Володимир Омелян,104,False,343,Володимир Омелян
Серг Аксьон,103,True,344,
Дмитр Сологуб,103,False,345,Дмитро Сологуб
Павл Ковтонюк,103,False,346,Павло Ковтонюк
Джейсон Міллер,103,True,347,
Олекс Білошицьк,103,True,348,
Джо Джойс,103,True,349,
Валентин Мондриївськ,102,True,350,
нардеп Козак,101,True,351,
Арт Марчевськ,101,False,352,Артем Марчевський
Мар Юстицьк,101,True,353,
Ірин Назарок,101,True,354,
Андр Гойл,100,False,355,Андрій Гойлов
Олександр Турчин,100,True,356,Олександр Турчинов
Натал Вишневськ,100,True,357,
Ухан,100,True,358,
Ллойд Остін,100,True,359,
Віктор Назар,100,True,360,
Олег Попенк,100,False,361,Олег Попенко
Артем Ситник,99,True,362,
Анатол Бондаренк,99,True,363,
Валентин Наливайченк,99,True,364,
Натал Голен,99,False,365,Наталія Голеня
Олег Руба,98,True,366,
Алін Грос,98,True,367,
Ігор Смілянськ,98,True,368,
Ханс Клюг,97,True,369,
Вад Кобзєв,97,True,370,
Анк Фельдгузен,97,True,371,
Ліонел Месс,97,True,372,
Едд Хірн,96,True,373,
Армін Лашет,96,True,374,
Савік Шустер,96,True,375,
Тарас Жиравецьк,96,False,376,Тарас Жиравецький
Олекс Любченк,96,True,377,
Дмитр Марунич,96,False,378,Дмитро Марунич
Над Оперчук,96,True,379,
Віктор Гриб,96,True,380,
Вітал Постриган,95,False,381,Віталій Постригань
Катерин Котенк,95,False,382,Катерина Котенкова
Тарас Шевченк,95,True,383,
Віктор Забашт,95,True,384,Віктор Забашта
Всеволод Степанюк,94,False,385,Всеволод Степанюк
Ольг Айвазовськ,94,False,386,Ольга Айвазовська
Вад Карас,94,False,387,Вадим Карасьов
Юр Луценк,94,False,388,Юрій Луценко
Ліл Ребрик,93,True,389,
Павл Клімкін,93,False,390,Павло Клімкін
Юл Лапутін,93,True,391,
Павл Кириленк,93,True,392,
Шевченк,93,True,393,
Васил Мока,92,True,394,
Іван Ліщин,92,True,395,Іван Ліщина
Стелл Кіріакідес,91,True,396,Стелла Кіріакідес
Євген Більченк,91,False,397,Євгенія Більченко
Михайл Фавор,91,False,398,Михайло Фаворов
Ольг Сумськ,90,True,399,
Катерин Рожк,90,False,400,Катерина Рожкова
Антон Дробович,90,True,401,
Ігор Голован,90,False,402,Ігор Головань
Дмитр Сенниченк,90,True,403,
Михайл Чаплиг,90,False,404,Михайло Чаплига
Олег Рибальченк,90,True,405,
Серг Дейнек,89,True,406,
Алл Мироненк,89,False,407,Алла Мироненко
Ігор Мосійчук,89,False,408,Ігор Мосійчук
Разумк,88,True,409,
Мелінд Сіммонс,88,True,410,
Вітал Сердюк,88,False,411,Віталій Сердюк
Петр Котін,88,True,412,Петро Котін
Микит,88,True,413,
Домінік Рааб,88,True,414,
Міхал Дворчик,88,True,415,
Дженніфер Лопес,88,True,416,
Олег Немчин,87,True,417,
Энтон Блинк,87,True,418,
Андр Мельник,87,True,419,
Андр Бойчук,87,True,420,
Натал,87,True,421,
Філіп Кіркор,87,True,422,
Юр Шпараг,86,True,423,
Христ Грозєв,86,False,424,Христо Грозєв
Хасан Рухан,86,True,425,
Натал Могилевськ,86,True,426,
Святосл Вакарчук,85,False,427,Святослав Вакарчук
Людмил Буймістер,85,True,428,
Ігор Сліденк,85,True,429,
Олександр Красюк,85,True,430,
прессекретарк Зеленськ,85,True,431,
Серг,85,True,432,
Серг Костенк,84,True,433,
Мас Най,84,False,434,Масі Найєм
Немчін,84,False,435,
Юл Санін,84,True,436,
Денис Пушилін,84,True,437,
Сі Цзіньпін,83,True,438,
Серг Крет,83,True,439,
Галин Третьяк,83,True,440,
Олександр Новак,83,True,441,
Серг Притул,83,False,442,Сергій Притула
Тарас Загородн,83,False,443,Тарас Загородній
Медведчук,82,True,444,
Вад Івченк,82,True,445,
Шмыгал,82,True,446,
Андр Александрін,82,False,447,Андрій Александрін
Ян Блатн,81,True,448,
